origin,mpg,cylinders,displacement,horsepower,weight,acceleration,year
usa,low,4,low,low,light,low,70-73
usa,low,8,medium,medium,regular,low,70-73
usa,low,8,high,medium,regular,low,70-73
usa,low,8,medium,medium,regular,low,70-73
usa,low,8,medium,medium,regular,low,70-73
usa,low,8,medium,medium,regular,low,70-73
usa,low,8,high,high,heavy,low,70-73
usa,low,8,high,high,heavy,low,70-73
usa,low,8,high,high,heavy,low,70-73
usa,low,8,high,high,heavy,low,70-73
usa,low,8,high,high,regular,low,70-73
usa,low,8,high,high,regular,low,70-73
usa,low,8,high,medium,regular,low,70-73
usa,low,8,high,medium,regular,low,70-73
usa,low,8,high,high,regular,low,70-73
japan,medium,4,low,low,light,medium,70-73
usa,medium,6,medium,low,regular,medium,70-73
usa,low,6,medium,low,light,medium,70-73
usa,low,6,medium,low,light,medium,70-73
japan,medium,4,low,low,light,medium,70-73
europe,medium,4,low,low,light,high,70-73
europe,medium,4,low,low,light,medium,70-73
europe,medium,4,low,low,light,medium,70-73
europe,medium,4,low,low,light,medium,70-73
europe,medium,4,low,medium,light,low,70-73
usa,low,6,medium,low,light,medium,70-73
usa,low,8,high,high,heavy,medium,70-73
usa,low,8,medium,high,heavy,medium,70-73
usa,low,8,medium,high,heavy,low,70-73
usa,low,8,medium,high,heavy,medium,70-73
japan,medium,4,low,low,light,medium,70-73
usa,medium,4,low,low,light,medium,70-73
japan,medium,4,low,low,light,medium,70-73
usa,medium,4,low,high,light,medium,70-73
usa,low,6,medium,low,light,low,70-73
usa,low,6,medium,low,regular,medium,70-73
usa,low,6,medium,low,regular,medium,70-73
usa,low,6,medium,low,regular,medium,70-73
usa,low,6,medium,low,regular,medium,70-73
usa,low,8,high,medium,heavy,low,70-73
usa,low,8,high,high,heavy,low,70-73
usa,low,8,high,medium,heavy,low,70-73
usa,low,8,medium,medium,heavy,low,70-73
usa,low,8,high,high,heavy,low,70-73
usa,low,8,high,high,heavy,low,70-73
usa,low,8,high,high,heavy,low,70-73
usa,low,6,medium,medium,regular,low,70-73
usa,medium,4,low,low,light,medium,70-73
usa,low,6,medium,low,regular,medium,70-73
usa,low,6,medium,low,regular,medium,70-73
