Name,Pclass,Survived,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare
Mr. Owen Harris Braund,3,0,male,22,1,0,7.25
Mrs. John Bradley (Florence Briggs Thayer) Cumings,1,1,female,38,1,0,71.2833
Miss. Laina Heikkinen,3,1,female,26,0,0,7.925
Mrs. Jacques Heath (Lily May Peel) Futrelle,1,1,female,35,1,0,53.1
Mr. William Henry Allen,3,0,male,35,0,0,8.05
Mr. James Moran,3,0,male,27,0,0,8.4583
Mr. Timothy J McCarthy,1,0,male,54,0,0,51.8625
Master. Gosta Leonard Palsson,3,0,male,2,3,1,21.075
Mrs. Oscar W (Elisabeth Vilhelmina Berg) Johnson,3,1,female,27,0,2,11.1333
Mrs. Nicholas (Adele Achem) Nasser,2,1,female,14,1,0,30.0708
Miss. Marguerite Rut Sandstrom,3,1,female,4,1,1,16.7
Miss. Elizabeth Bonnell,1,1,female,58,0,0,26.55
Mr. William Henry Saundercock,3,0,male,20,0,0,8.05
Mr. Anders Johan Andersson,3,0,male,39,1,5,31.275
Miss. Hulda Amanda Adolfina Vestrom,3,0,female,14,0,0,7.8542
Mrs. (Mary D Kingcome) Hewlett,2,1,female,55,0,0,16
Master. Eugene Rice,3,0,male,2,4,1,29.125
Mr. Charles Eugene Williams,2,1,male,23,0,0,13
Mrs. Julius (Emelia Maria Vandemoortele) Vander Planke,3,0,female,31,1,0,18
Mrs. Fatima Masselmani,3,1,female,22,0,0,7.225
Mr. Joseph J Fynney,2,0,male,35,0,0,26
Mr. Lawrence Beesley,2,1,male,34,0,0,13
Miss. Anna McGowan,3,1,female,15,0,0,8.0292
Mr. William Thompson Sloper,1,1,male,28,0,0,35.5
Miss. Torborg Danira Palsson,3,0,female,8,3,1,21.075
Mrs. Carl Oscar (Selma Augusta Emilia Johansson) Asplund,3,1,female,38,1,5,31.3875
Mr. Farred Chehab Emir,3,0,male,26,0,0,7.225
Mr. Charles Alexander Fortune,1,0,male,19,3,2,263
Miss. Ellen O'Dwyer,3,1,female,24,0,0,7.8792
Mr. Lalio Todoroff,3,0,male,23,0,0,7.8958
Don. Manuel E Uruchurtu,1,0,male,40,0,0,27.7208
Mrs. William Augustus (Marie Eugenie) Spencer,1,1,female,48,1,0,146.5208
Miss. Mary Agatha Glynn,3,1,female,18,0,0,7.75
Mr. Edward H Wheadon,2,0,male,66,0,0,10.5
Mr. Edgar Joseph Meyer,1,0,male,28,1,0,82.1708
Mr. Alexander Oskar Holverson,1,0,male,42,1,0,52
Mr. Hanna Mamee,3,1,male,18,0,0,7.2292
Mr. Ernest Charles Cann,3,0,male,21,0,0,8.05
Miss. Augusta Maria Vander Planke,3,0,female,18,2,0,18
Miss. Jamila Nicola-Yarred,3,1,female,14,1,0,11.2417
Mrs. Johan (Johanna Persdotter Larsson) Ahlin,3,0,female,40,1,0,9.475
Mrs. William John Robert (Dorothy Ann Wonnacott) Turpin,2,0,female,27,1,0,21
Miss. Simonne Marie Anne Andree Laroche,2,1,female,3,1,2,41.5792
Miss. Margaret Delia Devaney,3,1,female,19,0,0,7.8792
Mr. William John Rogers,3,0,male,30,0,0,8.05
Mr. Denis Lennon,3,0,male,20,1,0,15.5
Miss. Bridget O'Driscoll,3,1,female,27,0,0,7.75
Mr. Youssef Samaan,3,0,male,16,2,0,21.6792
Mrs. Josef (Josefine Franchi) Arnold-Franchi,3,0,female,18,1,0,17.8
Master. Juha Niilo Panula,3,0,male,7,4,1,39.6875
Mr. Richard Cater Nosworthy,3,0,male,21,0,0,7.8
Mrs. Henry Sleeper (Myna Haxtun) Harper,1,1,female,49,1,0,76.7292
Mrs. Lizzie (Elizabeth Anne Wilkinson) Faunthorpe,2,1,female,29,1,0,26
Mr. Engelhart Cornelius Ostby,1,0,male,65,0,1,61.9792
Mr. Hugh Woolner,1,1,male,46,0,0,35.5
Miss. Emily Rugg,2,1,female,21,0,0,10.5
Mr. Mansouer Novel,3,0,male,28.5,0,0,7.2292
Miss. Constance Mirium West,2,1,female,5,1,2,27.75
Master. William Frederick Goodwin,3,0,male,11,5,2,46.9
Mr. Orsen Sirayanian,3,0,male,22,0,0,7.2292
Miss. Amelie Icard,1,1,female,38,0,0,80
Mr. Henry Birkhardt Harris,1,0,male,45,1,0,83.475
Master. Harald Skoog,3,0,male,4,3,2,27.9
Mr. Albert A Stewart,1,0,male,64,0,0,27.7208
Master. Gerios Moubarek,3,1,male,7,1,1,15.2458
Mrs. (Elizabeth Ramell) Nye,2,1,female,29,0,0,10.5
Mr. Ernest James Crease,3,0,male,19,0,0,8.1583
Miss. Erna Alexandra Andersson,3,1,female,17,4,2,7.925
Mr. Vincenz Kink,3,0,male,26,2,0,8.6625
Mr. Stephen Curnow Jenkin,2,0,male,32,0,0,10.5
Miss. Lillian Amy Goodwin,3,0,female,16,5,2,46.9
Mr. Ambrose Jr Hood,2,0,male,21,0,0,73.5
Mr. Apostolos Chronopoulos,3,0,male,26,1,0,14.4542
Mr. Lee Bing,3,1,male,32,0,0,56.4958
Mr. Sigurd Hansen Moen,3,0,male,25,0,0,7.65
Mr. Ivan Staneff,3,0,male,23,0,0,7.8958
Mr. Rahamin Haim Moutal,3,0,male,28,0,0,8.05
Master. Alden Gates Caldwell,2,1,male,0.83,0,2,29
Miss. Elizabeth Dowdell,3,1,female,30,0,0,12.475
Mr. Achille Waelens,3,0,male,22,0,0,9
Mr. Jan Baptist Sheerlinck,3,1,male,29,0,0,9.5
Miss. Brigdet Delia McDermott,3,1,female,31,0,0,7.7875
Mr. Francisco M Carrau,1,0,male,28,0,0,47.1
Miss. Bertha Ilett,2,1,female,17,0,0,10.5
Mrs. Karl Alfred (Maria Mathilda Gustafsson) Backstrom,3,1,female,33,3,0,15.85
Mr. William Neal Ford,3,0,male,16,1,3,34.375
Mr. Selman Francis Slocovski,3,0,male,20,0,0,8.05
Miss. Mabel Helen Fortune,1,1,female,23,3,2,263
Mr. Francesco Celotti,3,0,male,24,0,0,8.05
Mr. Emil Christmann,3,0,male,29,0,0,8.05
Mr. Paul Edvin Andreasson,3,0,male,20,0,0,7.8542
Mr. Herbert Fuller Chaffee,1,0,male,46,1,0,61.175
Mr. Bertram Frank Dean,3,0,male,26,1,2,20.575
Mr. Daniel Coxon,3,0,male,59,0,0,7.25
Mr. Charles Joseph Shorney,3,0,male,22,0,0,8.05
Mr. George B Goldschmidt,1,0,male,71,0,0,34.6542
Mr. William Bertram Greenfield,1,1,male,23,0,1,63.3583
Mrs. John T (Ada Julia Bone) Doling,2,1,female,34,0,1,23
Mr. Sinai Kantor,2,0,male,34,1,0,26
Miss. Matilda Petranec,3,0,female,28,0,0,7.8958
Mr. Pastcho Petroff,3,0,male,29,0,0,7.8958
Mr. Richard Frasar White,1,0,male,21,0,1,77.2875
Mr. Gustaf Joel Johansson,3,0,male,33,0,0,8.6542
Mr. Anders Vilhelm Gustafsson,3,0,male,37,2,0,7.925
Mr. Stoytcho Mionoff,3,0,male,28,0,0,7.8958
Miss. Anna Kristine Salkjelsvik,3,1,female,21,0,0,7.65
Mr. Albert Johan Moss,3,1,male,29,0,0,7.775
Mr. Tido Rekic,3,0,male,38,0,0,7.8958
Miss. Bertha Moran,3,1,female,28,1,0,24.15
Mr. Walter Chamberlain Porter,1,0,male,47,0,0,52
Miss. Hileni Zabour,3,0,female,14.5,1,0,14.4542
Mr. David John Barton,3,0,male,22,0,0,8.05
Miss. Katriina Jussila,3,0,female,20,1,0,9.825
Miss. Malake Attalah,3,0,female,17,0,0,14.4583
Mr. Edvard Pekoniemi,3,0,male,21,0,0,7.925
Mr. Patrick Connors,3,0,male,70.5,0,0,7.75
Mr. William John Robert Turpin,2,0,male,29,1,0,21
Mr. Quigg Edmond Baxter,1,0,male,24,0,1,247.5208
Miss. Ellis Anna Maria Andersson,3,0,female,2,4,2,31.275
Mr. Stanley George Hickman,2,0,male,21,2,0,73.5
Mr. Leonard Charles Moore,3,0,male,19,0,0,8.05
Mr. Nicholas Nasser,2,0,male,32.5,1,0,30.0708
Miss. Susan Webber,2,1,female,32.5,0,0,13
Mr. Percival Wayland White,1,0,male,54,0,1,77.2875
Master. Elias Nicola-Yarred,3,1,male,12,1,0,11.2417
Mr. Martin McMahon,3,0,male,19,0,0,7.75
Mr. Fridtjof Arne Madsen,3,1,male,24,0,0,7.1417
Miss. Anna Peter,3,1,female,2,1,1,22.3583
Mr. Johan Ekstrom,3,0,male,45,0,0,6.975
Mr. Jozef Drazenoic,3,0,male,33,0,0,7.8958
Mr. Domingos Fernandeo Coelho,3,0,male,20,0,0,7.05
Mrs. Alexander A (Grace Charity Laury) Robins,3,0,female,47,1,0,14.5
