pclass,survived,sex,sibsp,parch,embarked
1,1,female,0,0,S
1,1,male,1,2,S
1,0,female,1,2,S
1,0,male,1,2,S
1,0,female,1,2,S
1,1,male,0,0,S
1,1,female,1,0,S
1,0,male,0,0,S
1,1,female,2,0,S
1,0,male,0,0,C
1,0,male,1,0,C
1,1,female,1,0,C
1,1,female,0,0,C
1,1,female,0,0,S
1,1,male,0,0,S
1,0,male,0,0,S
1,0,male,0,1,C
1,1,female,0,1,C
1,1,female,0,0,C
1,0,male,0,0,C
1,1,male,1,1,S
1,1,female,1,1,S
1,1,male,0,0,C
1,1,female,0,0,C
1,1,female,0,0,S
1,0,male,0,0,C
1,1,male,1,0,C
1,1,female,1,0,C
1,1,female,0,0,S
1,1,male,0,0,S
1,0,male,0,0,S
1,1,male,0,0,C
1,1,female,0,0,S
1,1,female,0,0,S
1,0,male,0,0,S
1,1,female,0,0,C
1,1,female,0,1,S
1,1,male,0,0,S
1,0,male,0,0,S
1,0,male,0,0,C
1,0,male,0,0,C
1,1,female,0,0,C
1,1,female,2,0,S
1,1,female,0,0,C
1,1,female,0,0,C
1,0,male,0,0,S
1,0,male,0,0,S
1,1,male,0,0,S
1,1,female,0,0,C
1,1,male,0,1,C
1,1,female,0,1,C
1,0,male,0,0,S
1,0,male,0,0,S
1,0,male,0,0,S
1,1,male,1,2,S
1,1,female,1,2,S
1,1,male,1,2,S
1,1,female,1,2,S
1,0,male,0,0,S
1,1,female,0,0,C
1,0,male,1,0,S
1,1,female,1,0,S
1,0,male,1,0,S
1,1,female,1,0,S
1,1,male,1,0,S
1,1,female,1,0,S
1,1,female,0,0,C
1,1,female,0,0,S
1,1,male,0,0,C
1,1,female,0,1,S
1,0,male,0,0,S
1,0,male,1,0,C
1,1,female,1,0,C
1,1,female,0,0,S
1,0,male,0,0,S
1,0,male,0,0,S
1,1,female,1,1,C
1,0,male,1,1,C
1,1,female,0,2,C
1,1,female,2,0,S
1,0,male,0,0,S
1,0,male,1,1,S
1,1,female,0,2,S
1,1,female,1,1,S
1,0,male,1,0,C
1,1,female,1,0,C
1,1,male,0,0,S
1,1,male,0,0,S
1,1,female,0,0,S
1,0,male,1,0,S
1,1,female,1,2,S
1,1,male,1,0,S
1,1,female,1,0,S
1,1,male,1,1,S
1,1,male,0,2,S
1,1,female,1,1,S
1,0,male,1,0,C
1,1,female,1,1,C
1,1,female,1,0,C
1,1,female,1,0,C
1,1,male,1,0,C
1,0,male,0,0,C
1,1,female,0,1,C
1,1,female,0,0,C
1,1,female,1,0,C
1,0,female,0,0,C
1,0,male,0,0,S
1,1,female,0,0,S
1,1,female,0,0,C
1,1,male,0,0,S
1,0,male,0,0,C
1,1,female,3,2,S
1,1,female,3,2,S
1,1,female,3,2,S
1,0,male,3,2,S
1,0,male,1,4,S
1,1,female,1,4,S
1,1,female,0,0,C
1,0,male,0,0,S
1,1,male,2,0,S
1,1,male,1,0,C
1,1,female,1,0,S
1,1,female,0,2,C
1,1,male,1,1,C
1,1,female,1,1,C
1,0,male,0,0,S
1,0,male,1,0,S
1,1,female,1,0,S
1,0,male,0,0,S
1,1,female,0,0,C
1,1,female,0,1,C
1,1,female,0,1,C
1,0,male,0,0,C
1,1,male,1,0,C
1,1,female,1,0,C
1,0,male,0,0,C
1,1,male,0,0,C
1,1,female,0,0,S
1,0,male,0,1,S
1,1,female,0,1,S
1,1,male,0,1,C
1,1,female,0,1,C
1,0,male,0,0,C
1,1,male,1,0,C
1,1,female,1,0,C
1,1,male,1,0,C
1,1,female,1,0,C
1,0,male,0,0,S
1,0,male,1,0,S
1,1,female,1,0,S
1,0,male,0,0,S
1,1,male,0,0,C
1,1,male,0,0,S
1,1,female,0,0,C
1,0,male,1,1,S
1,1,female,1,1,S
1,0,male,0,0,S
1,0,male,0,0,S
1,0,male,0,0,S
1,1,female,0,1,C
1,1,female,0,1,C
1,1,female,1,0,S
1,0,male,1,0,S
1,1,female,1,0,S
1,1,male,0,0,C
1,1,male,1,0,S
1,0,male,0,0,C
1,1,female,1,0,S
1,1,female,0,0,
1,0,female,0,0,C
1,1,male,0,0,S
1,0,male,0,0,S
1,0,male,0,0,S
1,0,male,0,0,C
1,0,male,0,0,C
1,0,male,1,0,S
1,1,female,1,0,S
1,1,male,1,0,S
1,1,female,1,0,S
1,0,male,0,0,S
1,1,female,0,0,S
1,1,female,0,0,S
1,1,female,0,0,C
1,1,male,0,0,C
1,0,male,0,0,C
1,0,male,0,0,S
1,1,female,0,0,C
1,1,female,0,1,S
1,1,female,0,1,S
1,0,male,0,0,S
1,1,female,0,0,S
1,0,male,0,0,S
1,1,female,0,0,C
1,1,female,0,1,S
1,0,male,0,0,S
1,1,female,0,0,S
1,1,male,0,0,C
1,0,male,1,0,S
1,1,female,1,0,S
1,1,female,0,0,C
1,0,male,0,0,C
1,0,male,0,0,S
1,1,male,0,0,S
1,0,male,1,0,C
1,1,female,1,0,C
1,0,male,0,0,S
1,0,male,2,0,Q
1,1,female,1,0,Q
1,1,female,1,0,Q
1,1,male,1,0,C
1,0,male,0,0,S
1,0,male,0,0,S
1,0,male,0,1,C
1,1,female,1,0,C
1,1,female,1,0,C
1,0,male,0,2,C
1,1,female,0,2,S
1,0,male,0,0,S
1,1,female,0,0,C
1,1,male,0,0,C
1,1,female,0,1,C
1,0,male,0,1,C
1,0,male,0,0,C
1,0,male,0,0,S
1,0,male,0,0,S
1,0,male,0,0,S
1,0,male,1,0,S
1,1,female,1,0,S
1,0,male,1,0,C
1,1,female,1,0,C
1,1,female,0,0,S
1,1,male,0,0,S
1,0,male,0,0,S
1,1,female,0,1,C
1,0,male,0,0,S
1,1,male,0,0,S
1,0,male,0,0,C
1,0,male,0,0,C
1,1,female,0,1,S
1,0,male,0,0,S
1,1,male,0,0,S
1,0,male,0,0,S
1,1,female,0,0,C
1,0,male,0,0,C
1,0,male,0,0,C
1,1,female,0,0,S
1,0,male,1,0,C
1,1,female,1,0,C
1,0,male,0,0,S
1,1,male,2,2,C
1,1,female,2,2,C
1,1,female,2,2,C
1,0,male,1,3,C
1,1,female,1,3,C
1,1,male,0,0,S
1,1,female,0,0,C
1,1,male,0,0,S
1,1,female,1,0,C
1,1,female,0,0,C
1,1,male,0,0,S
1,1,female,0,0,S
1,1,male,0,0,S
1,0,male,1,0,S
1,1,female,1,0,S
1,1,male,0,0,C
1,1,male,0,0,S
1,0,male,0,0,S
1,0,male,0,0,C
1,0,male,1,0,S
1,0,male,0,0,S
1,1,female,1,0,S
1,1,male,1,0,S
1,1,female,1,0,S
1,1,male,0,2,C
1,1,male,1,1,C
1,1,female,1,1,C
1,0,male,1,0,C
1,1,female,1,0,C
1,1,male,0,0,C
1,0,male,0,0,S
1,1,male,1,0,C
1,1,female,1,0,C
1,1,female,1,0,C
1,0,male,0,0,C
1,1,female,0,0,
1,0,male,1,0,S
1,0,female,1,0,S
1,0,male,0,0,S
1,1,female,0,0,S
1,1,female,0,2,S
1,0,male,1,1,S
1,1,female,1,1,S
1,1,male,1,0,S
1,1,female,1,0,S
1,0,male,1,1,C
1,1,male,0,2,C
1,1,female,1,1,C
1,1,female,0,0,C
1,1,male,0,0,C
1,0,male,0,0,C
1,0,male,0,0,S
1,0,male,0,0,S
1,1,female,0,0,C
1,0,male,1,0,C
1,1,female,1,0,C
1,0,male,0,0,S
1,0,male,0,1,S
1,0,male,0,1,S
1,1,female,0,0,C
1,1,female,0,2,S
1,0,male,1,1,S
1,1,female,1,1,S
1,0,male,1,1,C
1,0,male,0,2,C
1,1,female,1,1,C
1,1,female,0,0,S
1,0,male,0,1,C
1,1,male,0,1,C
1,0,male,0,0,S
1,1,female,0,0,C
1,1,male,0,0,S
1,0,male,0,0,S
1,1,female,0,0,C
2,0,male,1,0,C
2,1,female,1,0,C
2,0,male,0,0,S
2,0,male,0,0,S
2,0,male,0,0,S
2,0,male,1,0,S
2,1,female,1,0,S
2,0,male,0,0,S
2,0,male,0,0,S
2,0,male,0,0,S
2,1,female,0,0,S
2,0,male,0,0,S
2,0,male,0,0,S
2,1,male,1,0,S
2,1,female,1,0,S
2,0,male,0,0,S
2,1,male,2,1,S
2,1,female,2,1,S
2,1,female,2,1,S
2,1,female,0,3,S
2,1,male,0,0,S
2,1,female,0,0,S
2,0,male,0,0,S
2,0,male,0,0,S
2,0,male,0,0,S
2,0,male,0,0,S
2,1,female,0,0,S
2,1,female,0,2,S
2,0,male,1,1,S
2,1,female,1,1,S
2,1,female,1,0,S
2,0,male,1,0,S
2,1,female,0,0,S
2,0,male,0,0,S
2,0,male,0,0,S
2,1,female,0,0,S
2,1,male,0,2,S
2,1,male,1,1,S
2,1,female,1,1,S
2,1,female,0,0,S
2,0,male,0,0,S
2,0,male,0,0,S
2,0,female,1,0,S
2,0,male,1,0,S
2,0,male,0,0,S
2,0,male,1,0,S
2,0,female,1,0,S
2,1,female,1,1,S
2,1,female,0,2,S
2,0,male,1,0,S
2,1,female,1,0,S
2,0,male,0,0,S
2,0,male,0,0,S
2,1,male,0,0,S
2,1,female,0,2,S
2,0,male,1,1,S
2,1,female,1,1,S
2,1,female,0,0,S
2,0,female,0,0,S
2,0,female,0,0,S
2,0,male,0,0,S
2,0,male,0,0,S
2,1,male,1,1,S
2,0,male,0,0,S
2,1,female,0,2,S
2,1,female,0,0,S
2,0,male,0,0,S
2,0,male,0,0,S
2,0,male,1,0,C
2,1,female,1,0,C
2,0,male,0,0,S
2,0,male,0,0,S
2,1,female,0,1,S
2,1,female,0,1,S
2,0,male,0,0,S
2,1,male,0,2,S
2,0,male,1,1,S
2,1,female,1,1,S
2,1,female,1,0,C
2,1,female,1,0,C
2,0,male,0,0,S
2,0,male,0,0,S
2,0,male,0,0,S
2,0,male,1,0,S
2,1,female,1,0,S
2,0,male,0,0,S
2,0,male,0,0,S
2,0,male,0,0,S
2,0,female,0,0,S
2,0,male,0,0,S
2,0,male,1,0,S
2,0,male,1,0,S
2,1,female,0,0,S
2,0,male,0,0,S
2,0,male,0,0,S
2,0,male,0,0,S
2,0,male,1,0,S
2,0,male,1,0,S
2,0,male,0,0,S
2,0,male,0,0,S
2,0,male,0,0,S
2,0,male,0,0,S
2,0,male,0,0,S
2,0,male,0,0,S
2,1,male,1,1,S
2,1,female,0,2,S
2,0,male,0,0,S
2,1,female,0,1,S
2,0,male,0,1,S
2,1,male,0,0,S
2,0,male,0,0,S
2,1,female,0,2,S
2,0,male,1,1,S
2,1,female,1,1,S
2,1,female,1,2,S
2,1,female,1,2,S
2,0,male,1,2,S
2,1,female,1,2,S
2,1,female,0,0,S
2,0,male,2,0,S
2,0,male,2,0,S
2,0,male,2,0,S
2,0,female,1,1,S
2,1,female,2,1,S
2,0,male,2,1,S
2,0,male,0,0,S
2,1,female,1,3,S
2,0,male,0,0,S
2,0,male,1,0,S
2,1,female,1,0,S
2,0,male,0,0,S
2,1,male,0,0,S
2,0,male,1,0,S
2,0,female,1,0,S
2,0,male,0,0,S
2,1,female,0,0,S
2,0,male,1,0,S
2,1,female,2,1,S
2,0,male,0,0,S
2,0,male,2,0,S
2,0,male,2,0,S
2,0,male,0,0,S
2,1,female,0,0,C
2,0,male,1,0,S
2,1,female,1,0,S
2,0,female,0,0,S
2,1,female,0,0,Q
2,0,male,0,0,Q
2,1,female,0,0,S
2,0,male,0,0,Q
2,0,male,0,0,S
2,0,male,0,0,S
2,0,female,1,1,S
2,0,male,1,1,S
2,0,male,0,0,Q
2,1,female,1,2,C
2,1,female,1,2,C
2,0,male,1,2,C
2,1,female,1,2,C
2,1,female,0,0,C
2,1,female,0,0,S
2,1,female,0,0,S
2,0,male,0,0,C
2,0,male,0,0,S
2,0,male,0,0,Q
2,0,male,1,0,S
2,1,female,1,0,S
2,0,female,0,0,S
2,0,male,0,0,C
2,1,male,0,2,C
2,0,male,1,1,C
2,1,female,1,1,C
2,0,male,0,0,C
2,0,male,0,0,S
2,0,male,0,0,S
2,0,male,0,0,S
2,0,male,0,0,S
2,0,male,0,0,S
2,1,female,0,1,S
2,1,female,0,1,S
2,1,male,0,0,S
2,0,male,0,0,S
2,0,male,0,0,S
2,0,male,0,0,S
2,0,male,0,0,S
2,0,male,0,0,S
2,0,male,0,0,S
2,0,male,0,0,S
2,0,male,0,0,Q
2,0,male,1,0,C
2,1,female,1,0,C
